epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,565.599,1.08368,2.34516,1.37066,0.52794,0.4744,0.48513,0.2877,1.22643,2.5998,1.57395,0.000552773,0.000552773,0.000552773
2,1015.25,1.19077,1.95206,1.41784,0.58147,0.56711,0.57209,0.37061,1.19987,2.18848,1.52989,0.00108649,0.00108649,0.00108649
3,1459.96,1.22668,1.7977,1.42157,0.56169,0.44837,0.47075,0.29367,1.29066,2.2958,1.59352,0.00159821,0.00159821,0.00159821
4,1902.08,1.20078,1.66754,1.41052,0.66237,0.49375,0.57462,0.36526,1.18451,1.70539,1.51829,0.00156798,0.00156798,0.00156798
5,2344.14,1.14969,1.51446,1.36759,0.68377,0.56945,0.60525,0.37876,1.30663,1.69419,1.65168,0.00153497,0.00153497,0.00153497
6,2781.72,1.08683,1.49181,1.34138,0.7324,0.60953,0.65548,0.48265,1.02743,1.38287,1.41325,0.00150197,0.00150197,0.00150197
7,3224.04,1.06657,1.41293,1.31951,0.83096,0.67393,0.75349,0.5549,0.99012,1.17664,1.38659,0.00146896,0.00146896,0.00146896
8,3665.12,1.03722,1.33651,1.29986,0.74769,0.57974,0.68892,0.50021,1.05499,1.30338,1.40827,0.00143595,0.00143595,0.00143595
9,4106.54,1.01328,1.30946,1.29199,0.80736,0.65354,0.74453,0.56277,0.92949,1.10563,1.31729,0.00140295,0.00140295,0.00140295
10,4547.11,0.98977,1.23944,1.27612,0.82367,0.69741,0.75839,0.59077,0.88354,1.03925,1.26663,0.00136994,0.00136994,0.00136994
11,4984.01,0.98403,1.21361,1.27892,0.81143,0.67724,0.73796,0.57537,0.8726,1.09409,1.25559,0.00133693,0.00133693,0.00133693
12,5421.88,0.99552,1.24314,1.26338,0.66729,0.63963,0.66004,0.50286,0.87493,1.25802,1.28152,0.00130393,0.00130393,0.00130393
13,5859.72,0.95474,1.20164,1.25989,0.80848,0.72134,0.76715,0.60388,0.84811,1.02025,1.24761,0.00127092,0.00127092,0.00127092
14,6296.21,0.92535,1.19284,1.24438,0.82069,0.71705,0.77676,0.59171,0.83789,1.01888,1.22762,0.00123791,0.00123791,0.00123791
15,6729.79,0.91133,1.14756,1.2411,0.82485,0.72821,0.78712,0.63772,0.79487,0.94711,1.22096,0.00120491,0.00120491,0.00120491
16,7168.39,0.8929,1.11659,1.24043,0.81846,0.73274,0.77504,0.62861,0.76212,0.95841,1.18741,0.0011719,0.0011719,0.0011719
17,7605.3,0.88779,1.10049,1.21834,0.80919,0.70067,0.7593,0.60178,0.79859,1.06761,1.21727,0.00113889,0.00113889,0.00113889
18,8041.33,0.88437,1.08187,1.21267,0.87116,0.69913,0.79726,0.6472,0.77846,0.91485,1.19442,0.00110589,0.00110589,0.00110589
19,8477.91,0.85157,1.03582,1.18841,0.91352,0.71438,0.79934,0.65224,0.76602,0.88648,1.17669,0.00107288,0.00107288,0.00107288
